"UNIPROT","GO","GONAME","ONTOLOGY"
"A0A087WPF7","GO:0001764","neuron migration","BP"
"A0A087WPF7","GO:0003682","chromatin binding","MF"
"A0A087WPF7","GO:0005634","nucleus","CC"
"A0A087WPF7","GO:0005737","cytoplasm","CC"
"A0A087WPF7","GO:0005856","cytoskeleton","CC"
"A0A087WPF7","GO:0010592","positive regulation of lamellipodium assembly","BP"
"A0A087WPF7","GO:0030036","actin cytoskeleton organization","BP"
"A0A087WPF7","GO:0030426","growth cone","CC"
"A0A087WPF7","GO:0035022","positive regulation of Rac protein signal transduction","BP"
"A0A087WPF7","GO:0045944","positive regulation of transcription by RNA polymerase II","BP"
"A0A087WPF7","GO:0048675","axon extension","BP"
"A0A087WPF7","GO:0051571","positive regulation of histone H3-K4 methylation","BP"
"A0A087WPF7","GO:0060013","righting reflex","BP"
"A0A087WPF7","GO:0097484","dendrite extension","BP"
"A0A087WPF7","GO:0098582","innate vocalization behavior","BP"
"A0A087WPF7","GO:2000620","positive regulation of histone H4-K16 acetylation","BP"
"A0A088MLT8","GO:0005516","calmodulin binding","MF"
"A0A088MLT8","GO:0005737","cytoplasm","CC"
"A0A088MLT8","GO:0005886","plasma membrane","CC"
"A0A088MLT8","GO:0008366","axon ensheathment","BP"
"A0A088MLT8","GO:0030054","cell junction","CC"
"A0A088MLT8","GO:0030506","ankyrin binding","MF"
"A0A088MLT8","GO:0033268","node of Ranvier","CC"
"A0A088MLT8","GO:0035332","positive regulation of hippo signaling","BP"
"A0A088MLT8","GO:0043194","axon initial segment","CC"
"A0A088MLT8","GO:0044325","transmembrane transporter binding","MF"
"A0A088MLT8","GO:0051494","negative regulation of cytoskeleton organization","BP"
"A0A0B4J1F4","GO:0005737","cytoplasm","CC"
"A0A0B4J1F4","GO:0005768","endosome","CC"
"A0A0B4J1F4","GO:0005769","early endosome","CC"
"A0A0B4J1F4","GO:0005886","plasma membrane","CC"
"A0A0B4J1F4","GO:0015031","protein transport","BP"
"A0A0B4J1F4","GO:0016567","protein ubiquitination","BP"
"A0A0B4J1F4","GO:0032728","positive regulation of interferon-beta production","BP"
"A0A0B4J1F4","GO:0043231","intracellular membrane-bounded organelle","CC"
"A0A0B4J1F4","GO:0070534","protein K63-linked ubiquitination","BP"
"A0A0B4J1F4","GO:0140112","extracellular vesicle biogenesis","BP"
"A0A0B4J1F4","GO:1903561","extracellular vesicle","CC"
"A0A0B4J1F4","GO:1990756","ubiquitin ligase-substrate adaptor activity","MF"
"A0A0B4J1G0","GO:0002468","dendritic cell antigen processing and presentation","BP"
"A0A0B4J1G0","GO:0004888","transmembrane signaling receptor activity","MF"
"A0A0B4J1G0","GO:0005615","extracellular space","CC"
"A0A0B4J1G0","GO:0005886","plasma membrane","CC"
"A0A0B4J1G0","GO:0007166","cell surface receptor signaling pathway","BP"
"A0A0B4J1G0","GO:0009897","external side of plasma membrane","CC"
"A0A0B4J1G0","GO:0009986","cell surface","CC"
"A0A0B4J1G0","GO:0019767","IgE receptor activity","MF"
"A0A0B4J1G0","GO:0019770","IgG receptor activity","MF"
"A0A0B4J1G0","GO:0019772","low-affinity IgG receptor activity","MF"
"A0A0B4J1G0","GO:0019863","IgE binding","MF"
"A0A0B4J1G0","GO:0019864","IgG binding","MF"
"A0A0B4J1G0","GO:0033001","Fc-gamma receptor III complex","CC"
"A0A0B4J1G0","GO:0034235","GPI anchor binding","MF"
"A0A0B4J1G0","GO:0042119","neutrophil activation","BP"
"A0A0B4J1G0","GO:0043320","natural killer cell degranulation","BP"
"A0A0B4J1G0","GO:0045780","positive regulation of bone resorption","BP"
"A0A0B4J1G0","GO:0050776","regulation of immune response","BP"
"A0A0B4J1G0","GO:0071222","cellular response to lipopolysaccharide","BP"
"A0A0B4J1G0","GO:0140375","immune receptor activity","MF"
"A0A0B4J1G0","GO:0160006","Fc receptor-mediated immune complex endocytosis","BP"
"A0A0B4J1N3","GO:0001664","G protein-coupled receptor binding","MF"
"A0A0B4J1N3","GO:0005576","extracellular region","CC"
"A0A0B4J1N3","GO:0005615","extracellular space","CC"
"A0A0B4J1N3","GO:0007186","G protein-coupled receptor signaling pathway","BP"
"A0A0B4J1N3","GO:0008009","chemokine activity","MF"
"A0A0B4J1N3","GO:0010837","regulation of keratinocyte proliferation","BP"
"A0A0B4J1N3","GO:0043029","T cell homeostasis","BP"
"A0A0B4J1N3","GO:0043303","mast cell degranulation","BP"
"A0A0B4J1N3","GO:0048018","receptor ligand activity","MF"
"A0A0B4J1N3","GO:0048247","lymphocyte chemotaxis","BP"
"A0A0B4J1N3","GO:0050830","defense response to Gram-positive bacterium","BP"
"A0A0B4J1N3","GO:0050832","defense response to fungus","BP"
"A0A0B4J1N3","GO:0051782","negative regulation of cell division","BP"
"A0A0B4J1N3","GO:1902807","negative regulation of cell cycle G1/S phase transition","BP"
"A0A0B4J1N3","GO:2000404","regulation of T cell migration","BP"
"A0A0G2JDV3","GO:0003924","GTPase activity","MF"
"A0A0G2JDV3","GO:0005525","GTP binding","MF"
"A0A0G2JDV3","GO:0009617","response to bacterium","BP"
"A0A0G2JDV3","GO:0020005","symbiont-containing vacuole membrane","CC"
"A0A0G2JDV3","GO:0031410","cytoplasmic vesicle","CC"
"A0A0G2JDV3","GO:0035458","cellular response to interferon-beta","BP"
"A0A0G2JDV3","GO:0042832","defense response to protozoan","BP"
"A0A0G2JDV3","GO:0044406","adhesion of symbiont to host","BP"
"A0A0G2JDV3","GO:0050830","defense response to Gram-positive bacterium","BP"
"A0A0G2JDV3","GO:0071222","cellular response to lipopolysaccharide","BP"
"A0A0G2JDV3","GO:0071346","cellular response to type II interferon","BP"
"A0A0U1RPR8","GO:0001653","peptide receptor activity","MF"
"A0A0U1RPR8","GO:0003031","detection of carbon dioxide","BP"
"A0A0U1RPR8","GO:0004016","adenylate cyclase activity","MF"
"A0A0U1RPR8","GO:0004383","guanylate cyclase activity","MF"
"A0A0U1RPR8","GO:0004672","protein kinase activity","MF"
"A0A0U1RPR8","GO:0004984","olfactory receptor activity","MF"
"A0A0U1RPR8","GO:0005524","ATP binding","MF"
"A0A0U1RPR8","GO:0005549","odorant binding","MF"
"A0A0U1RPR8","GO:0005886","plasma membrane","CC"
"A0A0U1RPR8","GO:0006182","cGMP biosynthetic process","BP"
"A0A0U1RPR8","GO:0007168","receptor guanylyl cyclase signaling pathway","BP"
"A0A0U1RPR8","GO:0007608","sensory perception of smell","BP"
"A0A0U1RPR8","GO:0008355","olfactory learning","BP"
"A0A0U1RPR8","GO:0010753","positive regulation of cGMP-mediated signaling","BP"
"A0A0U1RPR8","GO:0016941","natriuretic peptide receptor activity","MF"
"A0A0U1RPR8","GO:0035556","intracellular signal transduction","BP"
"A0A0U1RPR8","GO:0042048","olfactory behavior","BP"
"A0A0U1RPR8","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP"
"A0A0U1RPR8","GO:0060170","ciliary membrane","CC"
"A0A0U1RPR8","GO:0097730","non-motile cilium","CC"
"A0A140LI88","GO:0000785","chromatin","CC"
"A0A140LI88","GO:0005634","nucleus","CC"
"A0A140LI88","GO:0007129","homologous chromosome pairing at meiosis","BP"
"A0A140LI88","GO:0010780","meiotic DNA double-strand break formation involved in reciprocal meiotic recombination","BP"
"A0A140LI88","GO:1903343","positive regulation of meiotic DNA double-strand break formation","BP"
"A0A140LIF8","GO:0000045","autophagosome assembly","BP"
"A0A140LIF8","GO:0000139","Golgi membrane","CC"
"A0A140LIF8","GO:0000421","autophagosome membrane","CC"
"A0A140LIF8","GO:0001934","positive regulation of protein phosphorylation","BP"
"A0A140LIF8","GO:0003924","GTPase activity","MF"
"A0A140LIF8","GO:0003925","G protein activity","MF"
"A0A140LIF8","GO:0005525","GTP binding","MF"
"A0A140LIF8","GO:0005739","mitochondrion","CC"
"A0A140LIF8","GO:0005774","vacuolar membrane","CC"
"A0A140LIF8","GO:0005789","endoplasmic reticulum membrane","CC"
"A0A140LIF8","GO:0005794","Golgi apparatus","CC"
"A0A140LIF8","GO:0005829","cytosol","CC"
"A0A140LIF8","GO:0006952","defense response","BP"
"A0A140LIF8","GO:0009617","response to bacterium","BP"
"A0A140LIF8","GO:0010508","positive regulation of autophagy","BP"
"A0A140LIF8","GO:0010800","positive regulation of peptidyl-threonine phosphorylation","BP"
"A0A140LIF8","GO:0019901","protein kinase binding","MF"
"A0A140LIF8","GO:0030659","cytoplasmic vesicle membrane","CC"
"A0A140LIF8","GO:0030674","protein-macromolecule adaptor activity","MF"
"A0A140LIF8","GO:0031640","killing of cells of another organism","BP"
"A0A140LIF8","GO:0031648","protein destabilization","BP"
"A0A140LIF8","GO:0032480","negative regulation of type I interferon production","BP"
"A0A140LIF8","GO:0033138","positive regulation of peptidyl-serine phosphorylation","BP"
"A0A140LIF8","GO:0035458","cellular response to interferon-beta","BP"
"A0A140LIF8","GO:0042742","defense response to bacterium","BP"
"A0A140LIF8","GO:0042832","defense response to protozoan","BP"
"A0A140LIF8","GO:0043124","negative regulation of canonical NF-kappaB signal transduction","BP"
"A0A140LIF8","GO:0043254","regulation of protein-containing complex assembly","BP"
"A0A140LIF8","GO:0043539","protein serine/threonine kinase activator activity","MF"
"A0A140LIF8","GO:0044395","protein targeting to vacuolar membrane","BP"
"A0A140LIF8","GO:0045087","innate immune response","BP"
"A0A140LIF8","GO:0050687","negative regulation of defense response to virus","BP"
"A0A140LIF8","GO:0050700","CARD domain binding","MF"
"A0A140LIF8","GO:0050728","negative regulation of inflammatory response","BP"
"A0A140LIF8","GO:0050821","protein stabilization","BP"
"A0A140LIF8","GO:0050829","defense response to Gram-negative bacterium","BP"
"A0A140LIF8","GO:0051434","BH3 domain binding","MF"
"A0A140LIF8","GO:0060335","positive regulation of type II interferon-mediated signaling pathway","BP"
"A0A140LIF8","GO:0061635","regulation of protein complex stability","BP"
"A0A140LIF8","GO:0061762","CAMKK-AMPK signaling cascade","BP"
"A0A140LIF8","GO:0065003","protein-containing complex assembly","BP"
"A0A140LIF8","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","BP"
"A0A140LIF8","GO:0071211","protein targeting to vacuole involved in autophagy","BP"
"A0A140LIF8","GO:0071222","cellular response to lipopolysaccharide","BP"
"A0A140LIF8","GO:0090141","positive regulation of mitochondrial fission","BP"
"A0A140LIF8","GO:0098586","cellular response to virus","BP"
"A0A140LIF8","GO:0160049","negative regulation of cGAS/STING signaling pathway","BP"
"A0A140LIF8","GO:0160076","negative regulation of non-canonical inflammasome complex assembly","BP"
"A0A140LIF8","GO:1900226","negative regulation of NLRP3 inflammasome complex assembly","BP"
"A0A140LIF8","GO:1901098","positive regulation of autophagosome maturation","BP"
"A0A140LIF8","GO:1901526","positive regulation of mitophagy","BP"
"A0A140LIF8","GO:1901612","cardiolipin binding","MF"
"A0A140LIF8","GO:1904417","positive regulation of xenophagy","BP"
"A0A140LIF8","GO:1905673","positive regulation of lysosome organization","BP"
"A0A1D9BZF0","GO:0000793","condensed chromosome","CC"
"A0A1D9BZF0","GO:0006974","DNA damage response","BP"
"A0A1D9BZF0","GO:0007129","homologous chromosome pairing at meiosis","BP"
"A0A1D9BZF0","GO:0010032","meiotic chromosome condensation","BP"
"A0A1D9BZF0","GO:0016605","PML body","CC"
"A0A1D9BZF0","GO:0031570","DNA integrity checkpoint signaling","BP"
"A0A1D9BZF0","GO:0035825","homologous recombination","BP"
"A0A1D9BZF0","GO:0106300","protein-DNA covalent cross-linking repair","BP"
"A0A1W2P872","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","BP"
"A0A1W2P872","GO:0003723","RNA binding","MF"
"A0A1W2P872","GO:0003729","mRNA binding","MF"
"A0A1W2P872","GO:0005634","nucleus","CC"
"A0A1W2P872","GO:0006397","mRNA processing","BP"
"A0A1W2P872","GO:0008380","RNA splicing","BP"
"A0A1W2P872","GO:0021954","central nervous system neuron development","BP"
"A0A1W2P872","GO:0030182","neuron differentiation","BP"
"A0A1W2P872","GO:0051252","regulation of RNA metabolic process","BP"
"A0A1W2P872","GO:0120163","negative regulation of cold-induced thermogenesis","BP"
"A0A1W2P872","GO:1902667","regulation of axon guidance","BP"
"A0A1W2P872","GO:1990825","sequence-specific mRNA binding","MF"
"A0A2R8VHR8","GO:0000122","negative regulation of transcription by RNA polymerase II","BP"
"A0A2R8VHR8","GO:0000976","transcription cis-regulatory region binding","MF"
"A0A2R8VHR8","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
"A0A2R8VHR8","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF"
"A0A2R8VHR8","GO:0003677","DNA binding","MF"
"A0A2R8VHR8","GO:0003700","DNA-binding transcription factor activity","MF"
"A0A2R8VHR8","GO:0005634","nucleus","CC"
"A0A2R8VHR8","GO:0005737","cytoplasm","CC"
"A0A2R8VHR8","GO:0005770","late endosome","CC"
"A0A2R8VHR8","GO:0006355","regulation of DNA-templated transcription","BP"
"A0A2R8VHR8","GO:0006357","regulation of transcription by RNA polymerase II","BP"
"A0A2R8VHR8","GO:0006983","ER overload response","BP"
"A0A2R8VHR8","GO:0006986","response to unfolded protein","BP"
"A0A2R8VHR8","GO:0007605","sensory perception of sound","BP"
"A0A2R8VHR8","GO:0008140","cAMP response element binding protein binding","MF"
"A0A2R8VHR8","GO:0009611","response to wounding","BP"
"A0A2R8VHR8","GO:0010467","gene expression","BP"
"A0A2R8VHR8","GO:0010506","regulation of autophagy","BP"
"A0A2R8VHR8","GO:0030968","endoplasmic reticulum unfolded protein response","BP"
"A0A2R8VHR8","GO:0032689","negative regulation of type II interferon production","BP"
"A0A2R8VHR8","GO:0032700","negative regulation of interleukin-17 production","BP"
"A0A2R8VHR8","GO:0032713","negative regulation of interleukin-4 production","BP"
"A0A2R8VHR8","GO:0032757","positive regulation of interleukin-8 production","BP"
"A0A2R8VHR8","GO:0032993","protein-DNA complex","CC"
"A0A2R8VHR8","GO:0034263","positive regulation of autophagy in response to ER overload","BP"
"A0A2R8VHR8","GO:0034976","response to endoplasmic reticulum stress","BP"
"A0A2R8VHR8","GO:0036119","response to platelet-derived growth factor","BP"
"A0A2R8VHR8","GO:0036488","CHOP-C/EBP complex","CC"
"A0A2R8VHR8","GO:0042802","identical protein binding","MF"
"A0A2R8VHR8","GO:0042803","protein homodimerization activity","MF"
"A0A2R8VHR8","GO:0043065","positive regulation of apoptotic process","BP"
"A0A2R8VHR8","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","BP"
"A0A2R8VHR8","GO:0043522","leucine zipper domain binding","MF"
"A0A2R8VHR8","GO:0043525","positive regulation of neuron apoptotic process","BP"
"A0A2R8VHR8","GO:0045454","cell redox homeostasis","BP"
"A0A2R8VHR8","GO:0045599","negative regulation of fat cell differentiation","BP"
"A0A2R8VHR8","GO:0045892","negative regulation of DNA-templated transcription","BP"
"A0A2R8VHR8","GO:0045893","positive regulation of DNA-templated transcription","BP"
"A0A2R8VHR8","GO:0045944","positive regulation of transcription by RNA polymerase II","BP"
"A0A2R8VHR8","GO:0046982","protein heterodimerization activity","MF"
"A0A2R8VHR8","GO:0051898","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP"
"A0A2R8VHR8","GO:0060840","artery development","BP"
"A0A2R8VHR8","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","MF"
"A0A2R8VHR8","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","BP"
"A0A2R8VHR8","GO:0090575","RNA polymerase II transcription regulator complex","CC"
"A0A2R8VHR8","GO:1904738","vascular associated smooth muscle cell migration","BP"
"A0A2R8VHR8","GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","BP"
"A0A2R8VHR8","GO:1990617","CHOP-ATF4 complex","CC"
"A0A2R8VHR8","GO:1990622","CHOP-ATF3 complex","CC"
"A0A2R8VHR8","GO:1990874","vascular associated smooth muscle cell proliferation","BP"
"A0A2R8VHR8","GO:2000016","negative regulation of determination of dorsal identity","BP"
"A0A2R8VHR8","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","BP"
"A0A494BA31","GO:0005886","plasma membrane","CC"
"A0A494BA31","GO:0006820","monoatomic anion transport","BP"
"A0A494BA31","GO:0008510","sodium:bicarbonate symporter activity","MF"
"A0A494BA31","GO:0015701","bicarbonate transport","BP"
"A0A494BA31","GO:0016020","membrane","CC"
"A0A494BA31","GO:0016323","basolateral plasma membrane","CC"
"A0A494BA31","GO:0035725","sodium ion transmembrane transport","BP"
"A0A494BA31","GO:0045177","apical part of cell","CC"
"A0A494BA31","GO:0046541","saliva secretion","BP"
"A0A494BA31","GO:0051453","regulation of intracellular pH","BP"
"A0A494BA31","GO:0055085","transmembrane transport","BP"
"A0A494BA31","GO:0140892","sodium,bicarbonate:chloride antiporter activity","MF"
"A0A494BA31","GO:0140900","chloride:bicarbonate antiporter activity","MF"
"A0A5F8MPU3","GO:0007283","spermatogenesis","BP"
"A0A5F8MPU3","GO:0030317","flagellated sperm motility","BP"
"A0A5F8MPU3","GO:0036128","CatSper complex","CC"
"A0A5F8MPU3","GO:0048240","sperm capacitation","BP"
"A0A5F8MPU3","GO:0097228","sperm principal piece","CC"
"A0A5F8MPU3","GO:0098876","vesicle-mediated transport to the plasma membrane","BP"
"A0A5K7RLP0","GO:0003677","DNA binding","MF"
"A0A5K7RLP0","GO:0005634","nucleus","CC"
"A0A5K7RLP0","GO:0006357","regulation of transcription by RNA polymerase II","BP"
"A0A5K7RLP0","GO:0007283","spermatogenesis","BP"
"A0A5K7RLP0","GO:0046983","protein dimerization activity","MF"
"A0A5K7RLP0","GO:0048477","oogenesis","BP"
"A0A5K7RLP0","GO:0051321","meiotic cell cycle","BP"
"A0A5K7RLP0","GO:0071300","cellular response to retinoic acid","BP"
"A0A5K7RLP0","GO:0090427","activation of meiosis","BP"
"A0JNT9","GO:0005737","cytoplasm","CC"
"A0JNT9","GO:0005813","centrosome","CC"
"A0JNT9","GO:0031175","neuron projection development","BP"
"A0JNT9","GO:0031267","small GTPase binding","MF"
"A0JNT9","GO:0034452","dynactin binding","MF"
"A0JNT9","GO:0047496","vesicle transport along microtubule","BP"
"A0JNT9","GO:0055107","Golgi to secretory granule transport","BP"
"A0JNU3","GO:0003847","1-alkyl-2-acetylglycerophosphocholine esterase activity","MF"
"A0JNU3","GO:0004067","asparaginase activity","MF"
"A0JNU3","GO:0004622","lysophospholipase activity","MF"
"A0JNU3","GO:0006528","asparagine metabolic process","BP"
"A0JNU3","GO:0006644","phospholipid metabolic process","BP"
"A0JNU3","GO:0016042","lipid catabolic process","BP"
"A0JNU3","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","MF"
"A0JNU3","GO:0102545","phosphatidyl phospholipase B activity","MF"
"A1A546","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"A1A546","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"A1A546","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","MF"
"A1A546","GO:0005634","nucleus","CC"
"A1A546","GO:0006357","regulation of transcription by RNA polymerase II","BP"
"A1A546","GO:0043565","sequence-specific DNA binding","MF"
"A1A546","GO:1901738","regulation of vitamin A metabolic process","BP"
"A1A546","GO:1904479","negative regulation of intestinal absorption","BP"
"A1A546","GO:1990837","sequence-specific double-stranded DNA binding","MF"
"A1A547","GO:0005576","extracellular region","CC"
"A1A547","GO:0008270","zinc ion binding","MF"
"A1A547","GO:0008745","N-acetylmuramoyl-L-alanine amidase activity","MF"
"A1A547","GO:0009253","peptidoglycan catabolic process","BP"
"A1A547","GO:0016019","peptidoglycan immune receptor activity","MF"
"A1A547","GO:0016045","detection of bacterium","BP"
"A1A547","GO:0031640","killing of cells of another organism","BP"
"A1A547","GO:0032689","negative regulation of type II interferon production","BP"
"A1A547","GO:0032827","negative regulation of natural killer cell differentiation involved in immune response","BP"
"A1A547","GO:0032991","protein-containing complex","CC"
"A1A547","GO:0042834","peptidoglycan binding","MF"
"A1A547","GO:0045087","innate immune response","BP"
"A1A547","GO:0046982","protein heterodimerization activity","MF"
"A1A547","GO:0050830","defense response to Gram-positive bacterium","BP"
"A1A547","GO:0051701","biological process involved in interaction with host","BP"
"A1A547","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","BP"
"A1E960","GO:0001934","positive regulation of protein phosphorylation","BP"
"A1E960","GO:0005576","extracellular region","CC"
"A1E960","GO:0005615","extracellular space","CC"
"A1E960","GO:0005634","nucleus","CC"
"A1E960","GO:0005654","nucleoplasm","CC"
"A1E960","GO:0005737","cytoplasm","CC"
"A1E960","GO:0005829","cytosol","CC"
"A1E960","GO:0006954","inflammatory response","BP"
"A1E960","GO:0009611","response to wounding","BP"
"A1E960","GO:0010628","positive regulation of gene expression","BP"
"A1E960","GO:0031214","biomineral tissue development","BP"
"A1E960","GO:0032956","regulation of actin cytoskeleton organization","BP"
"A1E960","GO:0042475","odontogenesis of dentin-containing tooth","BP"
"A1E960","GO:0060054","positive regulation of epithelial cell proliferation involved in wound healing","BP"
"A1E960","GO:0071944","cell periphery","CC"
"A1E960","GO:0072686","mitotic spindle","CC"
"A1E960","GO:0099512","supramolecular fiber","CC"
"A1KXC4","GO:0001790","polymeric immunoglobulin binding","MF"
"A1KXC4","GO:0001791","IgM binding","MF"
"A1KXC4","GO:0002172","high-affinity IgM receptor activity","MF"
"A1KXC4","GO:0002414","immunoglobulin transcytosis in epithelial cells","BP"
"A1KXC4","GO:0002455","humoral immune response mediated by circulating immunoglobulin","BP"
"A1KXC4","GO:0005765","lysosomal membrane","CC"
"A1KXC4","GO:0005886","plasma membrane","CC"
"A1KXC4","GO:0009897","external side of plasma membrane","CC"
"A1KXC4","GO:0009986","cell surface","CC"
"A1KXC4","GO:0031901","early endosome membrane","CC"
"A1KXC4","GO:0032588","trans-Golgi network membrane","CC"
"A1KXC4","GO:0050855","regulation of B cell receptor signaling pathway","BP"
"A1KXC4","GO:0070229","negative regulation of lymphocyte apoptotic process","BP"
"A1KXC4","GO:0160006","Fc receptor-mediated immune complex endocytosis","BP"
"A1KXC4","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","BP"
"A1L314","GO:0002250","adaptive immune response","BP"
"A1L314","GO:0002468","dendritic cell antigen processing and presentation","BP"
"A1L314","GO:0002478","antigen processing and presentation of exogenous peptide antigen","BP"
"A1L314","GO:0022829","wide pore channel activity","MF"
"A1L314","GO:0030670","phagocytic vesicle membrane","CC"
"A1L314","GO:0031410","cytoplasmic vesicle","CC"
"A1L314","GO:0036019","endolysosome","CC"
"A1L314","GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","BP"
"A1L314","GO:0042742","defense response to bacterium","BP"
"A1L314","GO:0045335","phagocytic vesicle","CC"
"A1L314","GO:0050829","defense response to Gram-negative bacterium","BP"
"A1L314","GO:0050830","defense response to Gram-positive bacterium","BP"
"A1L314","GO:0061474","phagolysosome membrane","CC"
"A1L314","GO:0140367","antibacterial innate immune response","BP"
"A1L314","GO:0140911","pore-forming activity","MF"
"A1L3P4","GO:0005739","mitochondrion","CC"
"A1L3P4","GO:0005768","endosome","CC"
"A1L3P4","GO:0005769","early endosome","CC"
"A1L3P4","GO:0005770","late endosome","CC"
"A1L3P4","GO:0005789","endoplasmic reticulum membrane","CC"
"A1L3P4","GO:0005886","plasma membrane","CC"
"A1L3P4","GO:0015385","sodium:proton antiporter activity","MF"
"A1L3P4","GO:0015386","potassium:proton antiporter activity","MF"
"A1L3P4","GO:0030010","establishment of cell polarity","BP"
"A1L3P4","GO:0030425","dendrite","CC"
"A1L3P4","GO:0031410","cytoplasmic vesicle","CC"
"A1L3P4","GO:0031547","brain-derived neurotrophic factor receptor signaling pathway","BP"
"A1L3P4","GO:0031901","early endosome membrane","CC"
"A1L3P4","GO:0031902","late endosome membrane","CC"
"A1L3P4","GO:0042802","identical protein binding","MF"
"A1L3P4","GO:0043231","intracellular membrane-bounded organelle","CC"
"A1L3P4","GO:0043679","axon terminus","CC"
"A1L3P4","GO:0044308","axonal spine","CC"
"A1L3P4","GO:0045202","synapse","CC"
"A1L3P4","GO:0048675","axon extension","BP"
"A1L3P4","GO:0048812","neuron projection morphogenesis","BP"
"A1L3P4","GO:0050808","synapse organization","BP"
"A1L3P4","GO:0051386","regulation of neurotrophin TRK receptor signaling pathway","BP"
"A1L3P4","GO:0051453","regulation of intracellular pH","BP"
"A1L3P4","GO:0055037","recycling endosome","CC"
"A1L3P4","GO:0055038","recycling endosome membrane","CC"
"A1L3P4","GO:0060996","dendritic spine development","BP"
"A1L3P4","GO:0071805","potassium ion transmembrane transport","BP"
"A1L3P4","GO:0097484","dendrite extension","BP"
"A1L3P4","GO:0098685","Schaffer collateral - CA1 synapse","CC"
"A1L3P4","GO:0098719","sodium ion import across plasma membrane","BP"
"A1L3P4","GO:0098978","glutamatergic synapse","CC"
"A1L3P4","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","BP"
"A1L3P4","GO:1902600","proton transmembrane transport","BP"
"A1Y9I9","GO:0005737","cytoplasm","CC"
"A1Y9I9","GO:0005783","endoplasmic reticulum","CC"
"A1Y9I9","GO:0007605","sensory perception of sound","BP"
"A1Y9I9","GO:0016206","catechol O-methyltransferase activity","MF"
"A1Y9I9","GO:0032259","methylation","BP"
"A1Y9I9","GO:0032502","developmental process","BP"
"A1Y9I9","GO:0042417","dopamine metabolic process","BP"
"A1Y9I9","GO:0042424","catecholamine catabolic process","BP"
"A1Y9I9","GO:0045177","apical part of cell","CC"
"A1Y9I9","GO:0060117","auditory receptor cell development","BP"
"A1Y9I9","GO:0102084","L-dopa O-methyltransferase activity","MF"
"A1Y9I9","GO:0102938","orcinol O-methyltransferase activity","MF"
"A1Y9I9","GO:1904591","positive regulation of protein import","BP"
"A1Z198","GO:0002221","pattern recognition receptor signaling pathway","BP"
"A1Z198","GO:0003690","double-stranded DNA binding","MF"
"A1Z198","GO:0003725","double-stranded RNA binding","MF"
"A1Z198","GO:0004175","endopeptidase activity","MF"
"A1Z198","GO:0005524","ATP binding","MF"
"A1Z198","GO:0005634","nucleus","CC"
"A1Z198","GO:0005654","nucleoplasm","CC"
"A1Z198","GO:0005737","cytoplasm","CC"
"A1Z198","GO:0005829","cytosol","CC"
"A1Z198","GO:0016887","ATP hydrolysis activity","MF"
"A1Z198","GO:0019899","enzyme binding","MF"
"A1Z198","GO:0019904","protein domain specific binding","MF"
"A1Z198","GO:0030163","protein catabolic process","BP"
"A1Z198","GO:0031098","stress-activated protein kinase signaling cascade","BP"
"A1Z198","GO:0032731","positive regulation of interleukin-1 beta production","BP"
"A1Z198","GO:0035591","signaling adaptor activity","MF"
"A1Z198","GO:0038187","pattern recognition receptor activity","MF"
"A1Z198","GO:0042981","regulation of apoptotic process","BP"
"A1Z198","GO:0043621","protein self-association","MF"
"A1Z198","GO:0050729","positive regulation of inflammatory response","BP"
"A1Z198","GO:0051260","protein homooligomerization","BP"
"A1Z198","GO:0051402","neuron apoptotic process","BP"
"A1Z198","GO:0051607","defense response to virus","BP"
"A1Z198","GO:0061702","canonical inflammasome complex","CC"
"A1Z198","GO:0070269","pyroptosis","BP"
"A1Z198","GO:0071493","cellular response to UV-B","BP"
"A1Z198","GO:0072558","NLRP1 inflammasome complex","CC"
"A1Z198","GO:0097264","self proteolysis","BP"
"A1Z198","GO:0140374","antiviral innate immune response","BP"
"A1Z198","GO:0140608","cysteine-type endopeptidase activator activity","MF"
"A1Z198","GO:0140693","molecular condensate scaffold activity","MF"
"A1Z198","GO:1904784","NLRP1 inflammasome complex assembly","BP"
"A2A259","GO:0001581","detection of chemical stimulus involved in sensory perception of sour taste","BP"
